City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,red deer,52.2668,-113.802,0.08,90,17,2.01,0.08,1675801203
348,le port,-20.9373,55.2919,26.0,78,20,3.87,26.0,1675801126
349,nachalovo,46.338,48.2013,-3.04,86,100,10.0,-3.04,1675801335
350,zhuanghe,39.7008,122.9911,-1.54,44,0,2.72,-1.54,1675801336
351,kamenka,51.3223,42.7678,-12.84,95,11,4.55,-12.84,1675801337
352,okmulgee,35.6234,-95.9605,7.17,81,100,3.6,7.17,1675801337
353,saint-pierre,-21.3393,55.4781,25.82,78,20,4.63,25.82,1675801304
354,rosetta,31.4044,30.4164,12.92,57,94,8.32,12.92,1675801338
355,panaba,21.2833,-88.2667,32.57,37,24,6.3,32.57,1675801339
356,vzmorye,54.6961,20.2361,1.11,93,57,2.36,1.11,1675801342
357,bardiyah,31.7561,25.0865,11.53,67,22,3.16,11.53,1675801343
358,touros,-5.1989,-35.4608,27.9,62,24,7.91,27.9,1675801344
359,fort nelson,58.8053,-122.7002,-0.05,69,1,2.72,-0.05,1675801344
360,byron bay,-28.65,153.6167,18.86,74,94,2.81,18.86,1675801346
361,cayenne,4.9333,-52.3333,28.02,74,40,6.69,28.02,1675801275
362,skibbereen,51.55,-9.2667,5.61,86,99,0.72,5.61,1675801347
363,half moon bay,37.4636,-122.4286,16.99,64,0,2.06,16.99,1675801348
364,pangnirtung,66.1451,-65.7125,-34.27,87,9,1.88,-34.27,1675801348
365,zamora,-4.0692,-78.9567,25.74,74,39,1.53,25.74,1675801350
366,komsomolskiy,40.4272,71.7189,2.4,80,13,4.12,2.4,1675801125
367,christchurch,-43.5333,172.6333,17.4,68,100,5.66,17.4,1675801224
368,rennes,48.1667,-1.6667,3.02,70,0,3.6,3.02,1675801351
369,egvekinot,66.3167,-179.1667,-30.4,87,97,3.78,-30.4,1675801352
370,muhororo,0.9381,30.7594,20.98,41,71,0.96,20.98,1675801353
371,koumac,-20.5667,164.2833,26.39,83,100,1.21,26.39,1675801354
372,pokhara,28.2333,83.9833,12.88,68,89,1.83,12.88,1675801184
373,wajima,37.4,136.9,6.98,68,94,6.29,6.98,1675801355
374,samfya,-11.3649,29.5565,17.78,93,100,3.0,17.78,1675801356
375,sioux lookout,50.1001,-91.917,-7.76,82,100,3.96,-7.76,1675801357
376,kyabe,9.4515,18.9449,29.09,12,1,2.18,29.09,1675801358
377,saint-georges,12.0564,-61.7485,25.24,78,100,5.83,25.24,1675801319
378,lufilufi,-13.8745,-171.5986,27.32,79,41,4.2,27.32,1675801359
379,bonito,-21.1211,-56.4819,25.05,82,100,2.01,25.05,1675801360
380,faanui,-16.4833,-151.75,26.61,76,23,5.54,26.61,1675801115
381,manjakandriana,-18.9167,47.8,17.83,92,100,3.29,17.83,1675801361
382,lincoln,40.8,-96.667,10.72,47,0,3.13,10.72,1675800947
383,la ronge,55.1001,-105.2842,2.43,84,65,7.99,2.43,1675801241
384,berlevag,70.8578,29.0864,3.0,75,0,11.32,3.0,1675801362
385,aksu,41.1231,80.2644,-4.12,78,4,2.86,-4.12,1675801363
386,veinticinco de mayo,-35.4323,-60.1727,38.59,13,2,3.88,38.59,1675801364
387,larsnes,62.2028,5.5773,7.23,77,60,6.22,7.23,1675801364
388,nabire,-3.3667,135.4833,23.55,92,100,1.44,23.55,1675801365
389,male,4.1748,73.5089,27.04,72,98,4.65,27.04,1675801366
390,luganville,-15.5333,167.1667,25.3,81,100,0.74,25.3,1675801367
391,sovetskiy,61.3614,63.5842,-27.52,100,97,1.5,-27.52,1675801171
392,codrington,-38.2667,141.9667,12.09,88,100,3.7,12.09,1675801368
393,karlskrona,56.1616,15.5866,0.25,91,67,4.53,0.25,1675801344
394,merauke,-8.4667,140.3333,24.95,92,100,4.58,24.95,1675801369
395,ternate,0.8,127.4,24.93,91,100,4.55,24.93,1675801370
396,maceio,-9.6658,-35.7353,27.69,69,20,5.14,27.69,1675801146
397,tuatapere,-46.1333,167.6833,10.75,82,59,5.82,10.75,1675801361
398,camacha,33.0833,-16.3333,13.68,67,75,6.17,13.68,1675801371
399,buraydah,26.326,43.975,14.38,38,100,2.98,14.38,1675801296
400,sandy bay,-42.913,147.3532,12.94,70,75,2.57,12.94,1675801372
401,salaga,8.5508,-0.5188,32.36,36,95,2.01,32.36,1675801373
402,suntar,62.1444,117.6319,-36.75,99,100,0.54,-36.75,1675801374
403,taoudenni,22.6783,-3.9836,21.64,18,92,4.1,21.64,1675801336
404,trincomalee,8.5711,81.2335,25.91,82,40,4.78,25.91,1675801375
405,coquimbo,-29.9533,-71.3436,19.85,77,75,6.17,19.85,1675801342
406,tarakan,3.3,117.6333,23.9,87,100,4.89,23.9,1675801256
407,anloga,5.7947,0.8973,27.45,82,63,6.21,27.45,1675801376
408,conceicao da barra,-18.5933,-39.7322,27.68,71,4,4.45,27.68,1675801377
409,necochea,-38.5473,-58.7368,29.28,48,39,6.16,29.28,1675801311
410,fengcheng,40.4536,124.0717,-4.86,52,0,2.5,-4.86,1675801378
411,olhao,37.0286,-7.8411,13.94,78,20,2.06,13.94,1675801339
412,wanning,18.8003,110.3967,21.71,93,25,0.45,21.71,1675801379
413,lasa,46.6166,10.7002,-2.21,73,3,1.63,-2.21,1675801246
414,vestmanna,62.1564,-7.1664,7.51,76,100,15.95,7.51,1675801366
415,visavadar,21.3833,70.6833,20.49,62,0,0.79,20.49,1675801381
416,dabat,12.9842,37.765,13.57,42,5,2.19,13.57,1675801381
417,sehithwa,-20.4667,22.7167,23.67,70,100,1.71,23.67,1675801383
418,bathsheba,13.2167,-59.5167,27.34,74,75,8.23,27.34,1675801373
419,acajutla,13.5928,-89.8275,29.96,49,12,4.19,29.96,1675801384
420,orlik,52.5178,99.825,-26.81,94,33,1.16,-26.81,1675801384
421,ilebo,-4.3167,20.5833,23.34,79,97,1.03,23.34,1675801385
422,brae,60.3964,-1.353,6.71,75,3,12.68,6.71,1675801349
423,innisfail,-17.5333,146.0333,25.36,92,100,3.77,25.36,1675801388
424,angoche,-16.2325,39.9086,26.0,83,100,4.22,26.0,1675801391
425,sao filipe,14.8961,-24.4956,20.54,64,2,6.99,20.54,1675801309
426,chegdomyn,51.1167,133.0167,-34.79,100,62,0.49,-34.79,1675801392
427,road town,18.4167,-64.6167,27.05,75,0,8.74,27.05,1675801312
428,sanandaj,35.3144,46.9923,-3.01,96,64,1.12,-3.01,1675801396
429,majene,-3.5403,118.9707,25.67,74,100,3.71,25.67,1675801385
430,marienburg,54.0359,19.0266,0.58,96,46,1.8,0.58,1675801267
431,san rafael,-34.6177,-68.3301,36.96,15,0,6.0,36.96,1675801344
432,ler,8.3018,30.1418,28.77,12,4,3.6,28.77,1675801400
433,ilesha,7.1371,5.2583,27.63,62,100,2.65,27.63,1675801401
434,ancud,-41.8697,-73.8203,18.09,74,13,4.36,18.09,1675801302
435,alvarado,18.7667,-95.7667,24.48,74,0,4.63,24.48,1675801402
436,odessa,46.4775,30.7326,-2.86,66,62,8.01,-2.86,1675801403
437,sumenep,-7.0167,113.8667,24.56,92,100,3.8,24.56,1675801403
438,high prairie,55.4334,-116.4858,0.43,79,91,2.33,0.43,1675801405
439,taksimo,56.3444,114.8794,-20.94,89,95,1.66,-20.94,1675801406
440,porirua,-41.1333,174.85,20.75,76,8,3.16,20.75,1675801407
441,araouane,18.9048,-3.5265,24.0,13,35,4.86,24.0,1675801408
442,hendaye,43.3717,-1.7738,7.37,80,40,3.09,7.37,1675801411
443,walvis bay,-22.9575,14.5053,19.49,82,32,2.55,19.49,1675801411
444,san borja,-14.8167,-66.85,28.16,84,85,1.15,28.16,1675801412
445,el dovio,4.5079,-76.2362,22.62,77,53,2.47,22.62,1675801414
446,wuhan,30.5833,114.2667,11.31,78,100,3.04,11.31,1675801414
447,port lincoln,-34.7333,135.8667,18.09,82,2,6.23,18.09,1675801248
448,selfoss,63.9331,-20.9971,-3.86,68,100,13.6,-3.86,1675801415
449,paka,4.6374,103.4368,23.82,91,92,2.77,23.82,1675801417
450,scarborough,54.2797,-0.4044,6.76,86,98,0.45,6.76,1675801171
451,abu zabad,12.35,29.25,20.62,19,5,7.37,20.62,1675801371
452,marawi,7.9986,124.2928,17.77,94,100,0.45,17.77,1675801305
453,naze,28.3667,129.4833,16.22,74,72,4.91,16.22,1675801419
454,camopi,3.1655,-52.3158,25.62,92,72,1.87,25.62,1675801419
455,chigorodo,7.6664,-76.6811,31.28,61,52,2.54,31.28,1675801420
456,meulaboh,4.1363,96.1285,24.12,83,100,1.78,24.12,1675801321
457,marsh harbour,26.5412,-77.0636,22.15,62,5,7.92,22.15,1675801421
458,bahile,9.9995,118.7878,23.17,91,99,0.68,23.17,1675801422
459,camana,-16.6228,-72.7111,25.8,75,50,4.15,25.8,1675801423
460,cagliliog,13.9016,123.2913,23.85,88,100,2.81,23.85,1675801424
